ID,Education,Marital_Status,Income,Kidhome,Teenhome,Join_date,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Education_years,has_imputed_age,Age,Age_category,Minorhome,Adulthome,HouseholdSize,has_imputed_income,TotalSpend,NumAccepted,NumPurchases,MonthsSinceJoiningCapped,DaysSinceJoin,PercentGold,PercentDealPurchases,SpendPerPurchase,SpendPerMonth,PurchasesPerMonth,SpendPercIncomeMonth,Frequency,Monetary,R,F,M,FM_minus_2,RFM_score,RFplusM_score,Segment
5524,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,16,0,57,55-64,0,1,1,0,1529,0,22,24.0,761,0.0575539568345323,0.1363636363636363,69.5,63.708333333333336,0.9166666666666666,0.0131497471533248,22,1529,2,5,5,8,255,28,High value at risk
2174,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,16,0,60,55-64,2,1,3,0,21,0,4,6.936986301369863,211,0.2857142857142857,0.5,5.25,3.0272511848341237,0.5766192733017378,0.0007838558220699,4,21,2,1,1,0,211,20,Standard base
4141,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,16,0,49,45-54,0,2,2,0,734,0,20,13.47945205479452,410,0.0572207084468664,0.05,36.7,54.45325203252033,1.483739837398374,0.0091245866587106,20,734,3,4,4,6,344,36,Champions
6182,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,16,0,30,25-34,1,2,3,0,48,0,6,7.791780821917808,237,0.1041666666666666,0.3333333333333333,8.0,6.160337552742616,0.770042194092827,0.0027743019827708,6,48,3,2,2,2,322,32,Recents
5324,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,22,0,33,25-34,1,2,3,0,407,0,14,8.515068493150684,259,0.0368550368550368,0.3571428571428571,29.071428571428573,47.79761904761905,1.6441441441441442,0.0098394563424669,14,407,1,3,3,4,133,14,Low-priority churn
7446,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,18,0,47,45-54,1,2,3,0,702,0,20,12.854794520547944,391,0.0199430199430199,0.1,35.1,54.60997442455243,1.555839727195226,0.0104829346391091,20,702,3,4,4,6,344,36,Champions
965,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,16,0,43,35-44,1,1,2,0,563,0,17,22.71780821917808,691,0.0479573712255772,0.2352941176470588,33.11764705882353,24.782320308731308,0.7483116256632899,0.0053453373542693,17,563,2,4,3,5,243,25,Standard base
6177,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,22,0,29,25-34,1,2,3,0,146,0,8,16.931506849315067,515,0.1575342465753424,0.25,18.25,8.622977346278319,0.4724919093851133,0.0030930749134734,8,146,3,2,2,2,322,32,Recents
5899,PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,22,0,64,55-64,2,2,4,0,36,1,1,6.772602739726027,206,0.3611111111111111,1.0,36.0,5.315533980582525,0.1476537216828479,0.0112936274374982,1,36,1,1,1,0,111,10,Low-priority churn
1994,Graduation,Married,38872.0,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,16,0,31,25-34,1,2,3,1,18,0,3,10.652054794520549,324,0.0555555555555555,0.3333333333333333,6.0,1.689814814814815,0.2816358024691358,0.0005216551187944,3,18,3,1,1,0,311,30,Recents
387,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,12,0,38,35-44,0,2,2,0,45,0,5,22.71780821917808,691,0.3555555555555555,0.2,9.0,1.9808248914616495,0.2200916546068499,0.0031693198263386,5,45,2,1,2,1,212,21,Standard base
2125,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,16,0,55,55-64,0,1,1,0,1072,0,15,10.652054794520549,324,0.0279850746268656,0.0666666666666666,71.46666666666667,100.63786008230454,1.4081790123456792,0.0191590804973213,15,1072,1,3,4,5,134,15,Critical retention
8180,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,18,0,62,55-64,2,1,3,0,296,0,12,10.652054794520549,324,0.0472972972972973,0.25,24.666666666666668,27.788065843621403,1.126543209876543,0.0056181013937301,12,296,2,3,3,4,233,24,Standard base
2569,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,16,0,27,25-34,0,2,2,0,41,0,4,23.83561643835616,725,0.1219512195121951,0.25,10.25,1.720114942528736,0.167816091954023,0.0011915591589415,4,41,2,1,1,0,211,20,Standard base
2114,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,22,0,68,65-74,0,1,1,0,1270,2,25,22.356164383561644,680,0.0354330708661417,0.04,50.8,56.80759803921568,1.1182598039215683,0.0082329852230747,25,1270,3,5,5,8,355,38,Champions
9736,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,16,0,34,25-34,2,2,4,0,92,0,6,21.36986301369863,650,0.0434782608695652,0.5,15.333333333333334,4.305128205128205,0.2807692307692307,0.0012344453634776,6,92,2,2,2,2,222,22,Standard base
4939,Graduation,Together,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,16,0,68,65-74,0,2,2,0,289,0,11,24.0,765,0.0968858131487889,0.1818181818181818,26.272727272727277,12.041666666666666,0.4583333333333333,0.0038268008474576,11,289,3,3,3,4,333,34,Loyal
6565,Master,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,18,0,65,65-74,1,2,3,0,1606,1,24,18.27945205479452,556,0.1095890410958904,0.0833333333333333,66.91666666666667,87.85821342925661,1.3129496402877698,0.0136930782667845,24,1606,1,5,5,8,155,18,Critical retention
2278,2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,18,0,29,25-34,1,1,2,0,94,0,6,23.046575342465754,701,0.4148936170212766,0.3333333333333333,15.666666666666666,4.078697099381835,0.2603423680456491,0.0014475442207672,6,94,1,2,2,2,122,12,Low-priority churn
9360,Graduation,Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,16,0,32,25-34,0,2,2,0,268,0,11,24.0,788,0.1791044776119403,0.0909090909090909,24.363636363636363,11.166666666666666,0.4583333333333333,0.0036177105831533,11,268,2,3,3,4,233,24,Standard base
